"id","trial","dcm1","dcm2","dcm3","dcm4"
1493,10,0.30613,4.0027,3.086,1.5077
1493,11,0.25582,0.84538,3.0859,2.0092
1493,12,0.32065,5.1223,3.0868,0.58167
1493,13,0.24328,3.0557,3.0833,0.0032145
1493,14,0.45827,0.018812,1.9155,1.9441
1493,15,0.2962,0.028188,3.0823,1.2068
1493,16,0.31642,0.015902,1.7035,1.6856
1493,17,1.4042,2.2094,0.90254,0.85693
1493,18,0.21643,0.78698,3.0932,1.1753
1493,19,0.34933,0.021371,3.0913,1.1605
1493,20,0.29354,1.5876,3.0893,1.2831
1493,21,1.057,5.6183,1.5019,0.44654
1493,22,0.58101,0.0053551,0.79968,0.61283
1493,23,0.62816,4.5823,3.0929,0.52602
1493,24,0.18142,0.08825,3.051,0.64416
1493,25,0.24398,3.0174,3.0695,2.4112
1493,26,0.26462,0.037615,3.0819,0.9471
1493,27,0.23841,0.91438,3.0846,0.48475
1493,28,0.28335,2.3859,2.8706,1.0625
1493,29,1.5866,0.21252,0.69832,0.67615
1493,30,1.2835,2.0588,0.55718,0.92758
1493,31,0.40027,0.030874,3.0897,0.77769
1493,32,0.26636,0.14581,2.1514,1.3868
1758,1,0.49992,0.49231,2.5425,1.8752
1758,2,0.4802,0.65532,3.0684,3.442
1758,3,0.92527,0.93833,1.1994,1.2262
1758,4,0.48636,2.4893,2.5834,2.1612
1758,5,0.3893,0.06771,2.5237,1.2529
1758,6,1.881,5.6149,1.2042,0.035124
1758,7,0.81067,3.2135,2.0245,1.1781
1758,8,0.81154,0.37054,1.3577,2.2605
1758,9,0.45288,0.10751,3.0812,0.58144
1758,10,1.5438,0.63132,0.43199,2.9403
1758,11,0.53946,0.34378,2.1935,2.0715
1758,12,1.5359,0.048439,0.43802,2.9483
1758,13,1.2887,0.5062,0.9497,1.042
1758,14,0.91191,0.012206,0.83297,2.062
1758,15,0.35194,0.13653,3.0829,2.376
1758,16,0.94613,0.0050022,1.3661,1.3858
1758,17,0.35516,0.057455,3.088,0.92437
1758,18,1.3158,0.0050789,0.59768,2.6246
1758,19,1.3308,0.20388,0.85818,1.7136
1758,20,0.35765,0.0413,3.0655,2.8037
1758,21,0.41364,2.8486,3.0742,1.7642
1758,22,0.38688,0.025492,2.04,1.7482
1758,23,0.88615,0.3307,1.2588,1.1591
1758,24,0.30405,1.0545,3.0847,3.0042
1758,25,0.63506,3.1411,2.1112,0.0033124
1758,26,0.45809,0.25765,3.0393,1.5542
1758,27,0.80551,0.038257,1.1879,1.6203
1758,28,0.42924,2.5097,2.3411,2.5829
1758,29,0.39279,1.5067,3.0741,3.4652
1758,30,0.28496,0.51733,3.0828,1.5782
1758,31,0.23522,0.023959,3.0677,2.1197
1758,32,0.23729,0.31786,2.2592,1.3278
1866,1,0.0079564,5.818,2.9662,2.4003
1866,2,0.60208,0.074349,1.4513,2.156
1866,3,0.50687,5.9922,3.0841,0.18243
1866,4,0.28711,0.65343,3.0675,0.34951
1866,5,0.23237,5.9821,3.0766,2.6273
1866,6,0.72725,0.035431,0.62401,2.6773
1866,7,0.62976,0.044061,0.94687,0.20943
1866,8,0.0017368,5.8321,2.969,3.0669
1866,9,0.55353,0.012164,1.5689,0.68018
1866,10,0.92692,0.023913,0.17424,2.3768
1866,11,0.37641,0.047416,2.7298,0.010324
1866,12,2.9654,1.543,0.17325,5.3684
1866,13,0.58578,0.012238,0.91294,1.4
1866,14,1.3852,4.3024,0.61806,0.013011
1866,15,0.22209,0.76505,3.0876,2.9913
1866,16,0.48472,0.92293,1.2705,0.56543
1866,17,0.23752,1.0455,1.8346,1.9252
1866,18,0.17497,0.91682,3.0932,0.519
1866,19,0.30978,0.0083247,1.2138,3.2598
1866,20,0.23605,0.041873,3.0898,0.85255
1866,21,0.14219,0.07611,1.1661,3.4769
1866,22,0.24735,0.014926,3.0863,0.54398
1866,23,0.22196,0.59507,3.0882,0.82519
1866,24,0.25098,0.017514,2.1209,1.3585
1866,25,0.361,1.3747,1.5566,1.219
1866,26,0.3558,0.024301,1.7977,0.37581
1866,27,0.71786,2.7383,2.3231,0.0012782
1866,28,0.15911,0.016554,1.5477,2.947
1866,29,0.14169,3.3614,3.0936,0.051152
1866,30,0.1777,2.3459,1.9066,2.718
1866,31,0.23577,0.014335,3.0846,0.35021
1866,32,0.15364,0.48184,2.9994,3.3309
1875,1,0.11221,0.413,2.9049,0.48176
1875,2,0.00015036,5.8444,2.7775,5.2837
1875,3,1.0452,0.0050357,0.5433,0.63934
1875,4,0.00016908,5.8402,2.7705,5.1604
1875,5,0.2884,0.032536,1.1259,0.99289
1875,6,0.00077962,5.8145,2.8653,3.5799
1875,7,0.0024277,5.8246,2.6698,4.4706
1875,8,0.55802,1.0495,1.615,1.6893
1875,9,0.1714,0.19468,1.1388,2.1196
1875,10,0.00097106,5.8658,2.8214,3.7927
1875,11,1.0992,0.014938,0.33181,0.50924
1875,12,0.9397,0.020643,0.54248,2.7454
1875,13,0.20059,2.5568,3.0883,0.0071254
1875,14,0.1296,0.036781,3.0641,2.8852
1875,15,0.074001,0.15701,3.0245,3.4197
1875,16,3.9514,0.006171,0.15834,0.99629
1875,17,0.18732,0.05013,1.9784,1.0223
1875,18,0.00055571,5.8346,2.8271,3.7386
1875,19,0.1461,0.33884,0.90378,0.43029
1875,20,0.12832,5.8713,3.058,4.1375
1875,21,2.1357,0.29563,0.27366,1.4528
1875,22,0.46998,0.03305,1.6699,0.15645
1875,23,0.37089,5.9377,3.09,0.0097651
1875,24,0.3015,4.7257,2.5405,2.6298
1875,25,0.25894,5.9729,3.0915,0.0036288
1875,26,0.10426,0.10694,3.0333,3.0497
1875,27,0.16425,0.050994,3.0759,0.53025
1875,28,0.22508,0.016021,1.915,1.4901
1875,29,0.27674,0.016031,3.079,0.63822
1875,30,0.18564,0.027203,3.0817,0.38647
1875,31,0.28398,0.0095263,2.8892,0.70599
1875,32,0.16947,0.1739,2.2323,2.3158
1952,1,0.10794,5.818,2.8654,0.021621
1952,2,9.4068,5.1365,0.16673,0.024069
1952,3,4.4379,4.4678,0.15875,0.0042166
1952,4,8.1168,4.4612,0.12465,0.0023225
1952,5,0.24048,3.8372,2.8422,0.0016098
1952,6,9.2881,5.0418,0.11313,0.0030198
1952,7,10.138,5.1132,0.11232,0.0002551
1952,8,1.0782,2.9743,0.20675,2.8899
1952,9,0.1293,0.93154,3.0262,0.55462
1952,10,9.6648,5.3443,0.10989,0.0029307
1952,11,6.333,5.2227,0.12151,0.0043995
1952,12,10.72,5.2776,0.10841,0.0027101
1952,13,5.1496,1.4708,0.11955,0.12003
1952,14,11.527,5.2333,0.11125,0.0032663
1952,15,9.9969,5.335,0.1088,0.0030649
1952,16,0.18225,0.54618,3.0239,0.9167
1952,17,0.19482,0.14306,2.9825,0.54469
1952,18,8.4782,5.5037,0.12883,0.020607
1952,19,0.11791,0.066664,3.0049,0.3363
1952,20,9.4067,5.6186,0.11094,0.0085969
1952,21,10.02,5.0897,0.12906,0.0061099
1952,22,0.30353,5.9891,3.0861,0.0018014
1952,23,0.17063,0.083652,2.926,0.46248
1952,24,11.053,5.4818,0.10667,0.0034586
